,path,duration,dataset,emotion
0,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_book_ps.wav,1.841,TESS,surprise
1,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_bean_ps.wav,2.257,TESS,surprise
2,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_boat_ps.wav,2.179,TESS,surprise
3,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_chair_ps.wav,1.831,TESS,surprise
4,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_bar_ps.wav,1.789,TESS,surprise
5,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_bath_ps.wav,1.976,TESS,surprise
6,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_came_ps.wav,2.188,TESS,surprise
7,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_calm_ps.wav,1.702,TESS,surprise
8,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_back_ps.wav,1.85,TESS,surprise
9,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_bought_ps.wav,1.942,TESS,surprise
10,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_base_ps.wav,1.988,TESS,surprise
11,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_cause_ps.wav,1.94,TESS,surprise
12,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_bite_ps.wav,1.82,TESS,surprise
13,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_bone_ps.wav,1.876,TESS,surprise
14,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_beg_ps.wav,1.785,TESS,surprise
15,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_cab_ps.wav,1.802,TESS,surprise
16,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_chain_ps.wav,1.887,TESS,surprise
17,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_burn_ps.wav,2.209,TESS,surprise
18,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_have_ps.wav,1.822,TESS,surprise
19,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_deep_ps.wav,1.928,TESS,surprise
20,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_check_ps.wav,1.949,TESS,surprise
21,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_germ_ps.wav,1.816,TESS,surprise
22,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_gun_ps.wav,1.811,TESS,surprise
23,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_gap_ps.wav,2.343,TESS,surprise
24,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_hurl_ps.wav,2.163,TESS,surprise
25,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_death_ps.wav,2.394,TESS,surprise
26,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_door_ps.wav,2.455,TESS,surprise
27,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_far_ps.wav,1.882,TESS,surprise
28,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_get_ps.wav,1.934,TESS,surprise
29,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_five_ps.wav,1.915,TESS,surprise
30,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_goose_ps.wav,2.282,TESS,surprise
31,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_jail_ps.wav,2.386,TESS,surprise
32,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_dime_ps.wav,2.334,TESS,surprise
33,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_dip_ps.wav,1.96,TESS,surprise
34,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_hush_ps.wav,1.809,TESS,surprise
35,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_cheek_ps.wav,1.836,TESS,surprise
36,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_gas_ps.wav,2.065,TESS,surprise
37,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_chalk_ps.wav,2.291,TESS,surprise
38,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_cool_ps.wav,1.872,TESS,surprise
39,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_gin_ps.wav,1.815,TESS,surprise
40,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_haze_ps.wav,1.919,TESS,surprise
41,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_dab_ps.wav,1.824,TESS,surprise
42,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_hire_ps.wav,1.76,TESS,surprise
43,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_dog_ps.wav,1.833,TESS,surprise
44,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_good_ps.wav,1.867,TESS,surprise
45,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_food_ps.wav,1.83,TESS,surprise
46,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_hash_ps.wav,2.373,TESS,surprise
47,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_dodge_ps.wav,1.895,TESS,surprise
48,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_hate_ps.wav,1.903,TESS,surprise
49,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_fail_ps.wav,1.878,TESS,surprise
50,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_chief_ps.wav,1.925,TESS,surprise
51,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_dead_ps.wav,1.839,TESS,surprise
52,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_jar_ps.wav,2.282,TESS,surprise
53,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_fit_ps.wav,1.926,TESS,surprise
54,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_hall_ps.wav,1.759,TESS,surprise
55,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_doll_ps.wav,1.836,TESS,surprise
56,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_goal_ps.wav,1.771,TESS,surprise
57,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_hole_ps.wav,1.721,TESS,surprise
58,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_gaze_ps.wav,2.022,TESS,surprise
59,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_half_ps.wav,1.912,TESS,surprise
60,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_date_ps.wav,1.85,TESS,surprise
61,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_fall_ps.wav,2.309,TESS,surprise
62,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_fat_ps.wav,2.354,TESS,surprise
63,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_choice_ps.wav,2.419,TESS,surprise
64,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_home_ps.wav,2.135,TESS,surprise
65,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_hit_ps.wav,1.821,TESS,surprise
66,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_ditch_ps.wav,1.954,TESS,surprise
67,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_chat_ps.wav,1.921,TESS,surprise
68,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_luck_ps.wav,1.954,TESS,surprise
69,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_kite_ps.wav,2.278,TESS,surprise
70,/content/gdrive/MyDrive/CEG/Semester 7/DL_project/TESS/YAF_pleasant_surprised/YAF_mill_ps.wav,1.681,TESS,surprise
